round,worker_name,hostname,mode,ratio_used,allocated_samples,trained_samples,cpu_util,gpu_util,throughput,memory_headroom,time,train_seconds,total_seconds,request_seconds,samples_per_sec_train,samples_per_sec_total,iteration_time,loss,acc,shard_zip_bytes,avg_cpu_percent,max_cpu_percent,avg_memory_percent,max_memory_percent,avg_gpu_util_percent,max_gpu_util_percent,avg_gpu_memory_used_mb,max_gpu_memory_used_mb,avg_gpu_memory_percent,max_gpu_memory_percent
1,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,21.98765432,83.32098765,478.277473,71.97283951,139.3751614,42.84842443,139.3751614,143.9618564,1555.716479,478.277473,0.041121329,4.843567437,0.044929493,65828528,21.98765432,59.1,28.02716049,29.2,83.32098765,99,1517.950617,1614,12.35914849,13.14118222
1,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,34.19268293,82.86585366,427.7694778,73.90609756,155.8315949,43.98668003,155.8315949,160.7041802,1515.45877,427.7694778,0.042213704,4.820218469,0.047869787,65928535,34.19268293,68.4,26.09390244,27.6,82.86585366,99,1517.219512,1602,14.8165968,15.64453125
1,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.3334,33340,66680,39.60204082,77.81632653,518.0576977,71.43061224,128.7115321,26.17887616,128.7115321,133.2395585,2547.091769,518.0576977,0.025123682,4.825410617,0.045815837,65998942,39.60204082,59.4,28.56938776,30.6,77.81632653,99,1724.571429,1868,10.5782459,11.45801386
2,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.334941123,33494,66988,23.12972973,92.83783784,478.2268417,71.07027027,140.0757844,38.9289515,140.0757844,144.0577824,1720.77586,478.2268417,0.037145946,4.816889658,0.046202305,66203486,23.12972973,56.9,28.92972973,29.8,92.83783784,99,1614,1614,13.14118222,13.14118222
2,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.310703229,31070,62140,38.1016129,93.80645161,464.4365375,73.22096774,133.7965362,37.41825509,133.7965362,137.3298864,1660.686738,464.4365375,0.038496147,4.858461458,0.042307692,61424188,38.1016129,55.2,26.77903226,27.7,93.80645161,99,1552.258065,1604,15.15877016,15.6640625
2,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.354355648,35436,70872,44.74761905,91.26190476,559.8973483,70.47142857,126.5803459,24.57561707,126.5803459,130.6648958,2883.833996,559.8973483,0.02218016,4.80589722,0.047663393,70127748,44.74761905,68.4,29.52857143,30.7,91.26190476,99,1826.571429,1872,11.20389762,11.48254922
3,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.323647145,32364,64728,23.48955224,93.80597015,500.7724418,71.04776119,129.256314,37.6228199,129.256314,133.1299391,1720.445202,500.7724418,0.0371767,4.836684228,0.042933506,63966653,23.48955224,56.7,28.95223881,30.1,93.80597015,99,1590.895522,1615,12.95306564,13.14932421
3,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.310033824,31003,62006,38.99855072,90.55072464,419.1294475,71.61014493,147.939975,37.36215186,147.939975,151.5386543,1659.593918,419.1294475,0.038517682,4.847108449,0.042721672,61314002,38.99855072,81.2,28.38985507,30.4,90.55072464,99,1602,1602,15.64453125,15.64453125
3,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.366319031,36633,73266,48.72093023,88.18604651,587.444996,67.85581395,124.7197618,25.18963695,124.7197618,128.8197591,2908.577053,587.444996,0.021980486,4.807080394,0.047143286,72474554,48.72093023,66.3,32.14418605,33.2,88.18604651,98,1829.44186,1873,11.22150439,11.48868306
4,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.329364601,32936,65872,21.74444444,91.91666667,473.8314489,70.61666667,139.0198987,37.9948957,139.0198987,164.0811203,1733.706562,473.8314489,0.036888248,4.835367337,0.045876852,65098760,21.74444444,56.4,29.38333333,30.2,91.91666667,99,1603.888889,1614,13.05885759,13.14118222
4,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.28873742,28873,57746,35.93333333,90.36363636,426.6922257,72.76060606,135.3340805,34.98823237,135.3340805,161.5119689,1650.440622,426.6922257,0.038703797,4.868020658,0.041284245,57138069,35.93333333,72.7,27.23939394,28,90.36363636,98,1609.69697,1610,15.71969697,15.72265625
4,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.381897979,38191,76382,43.63333333,85.625,571.2071631,70.83333333,133.7203119,25.61604404,133.7203119,162.1068664,2981.803118,571.2071631,0.021453973,4.787294975,0.049972507,75518238,43.63333333,64.6,29.16666667,29.9,85.625,97,1872,1872,11.48254922,11.48254922
