round,method,gap_seconds,weight_cpu_util,weight_gpu_util,weight_throughput,weight_memory_headroom,weight_time,coef_cpu_util,coef_gpu_util,coef_throughput,coef_memory_headroom,coef_time,ratio_B,ratio_C,ratio_D
1,ridge_regression_auto_weights,27.12006283,0.001442656,0.17220711,0.271680052,0.279769722,0.27490046,-0.001382997,-0.16508576,0.260445157,-0.268200291,-0.26353239,0.3333,0.3333,0.3334
2,ridge_regression_auto_weights,13.49543858,0.143914437,0.03080201,0.373992111,0.286438071,0.164853371,0.159979742,-0.034240468,0.415741206,-0.318413425,-0.183256109,0.334941123,0.310703229,0.354355648
3,ridge_regression_auto_weights,23.22021317,0.041641219,0.047962563,0.548294852,0.149655668,0.212445697,0.044346835,-0.051078906,0.583920023,-0.159379466,-0.226249245,0.323647145,0.310033824,0.366319031
4,ridge_regression_auto_weights,5.299586773,0.038076531,0.046552926,0.70104047,0.111955599,0.102374475,0.040151415,-0.04908971,0.73924191,-0.118056339,-0.107953115,0.329364601,0.28873742,0.381897979
5,ridge_regression_auto_weights,4.845248222,0.036299589,0.040691666,0.766823034,0.092026264,0.064159447,0.037957463,-0.042550135,0.801845347,-0.096229284,-0.067089734,0.324314565,0.290628531,0.385056904
1,ridge_regression_auto_weights,34.44159555,0.096746638,0.222216973,0.263407701,0.151843101,0.265785586,0.103692542,-0.238170992,0.282319,-0.162744643,-0.284867604,0.3333,0.3333,0.3334
2,ridge_regression_auto_weights,22.95569229,0.078389058,0.072030374,0.369155052,0.09802401,0.382401506,0.085456665,-0.078524677,0.402438302,-0.106861916,-0.416879064,0.324060319,0.308809003,0.367130678
3,ridge_regression_auto_weights,8.214797735,0.048629711,0.094140444,0.461406488,0.134883523,0.260939834,0.05476102,-0.106009816,0.519581332,-0.151889847,-0.293839532,0.32792467,0.29162228,0.380453051
4,ridge_regression_auto_weights,3.194136381,0.069611624,0.057344939,0.511427255,0.157514475,0.204101707,0.080068694,-0.065959305,0.588253941,-0.181176325,-0.234761899,0.324049508,0.28817804,0.387772451
1,ridge_regression_auto_weights,40.53716016,0.009609249,0.150764313,0.279419163,0.266759595,0.29344768,-0.009093488,-0.142672281,0.264421789,-0.252441703,-0.277697348,0.3333,0.3333,0.3334
2,ridge_regression_auto_weights,6.456866026,0.061927003,0.036486492,0.36977641,0.338010634,0.19379946,0.065851204,0.038798574,0.393208466,-0.35942975,-0.206080177,0.32935111,0.302440144,0.368208746
3,ridge_regression_auto_weights,2.737133265,0.035943655,0.018447406,0.433168492,0.39272169,0.119718757,0.037313471,0.019150439,0.449676591,-0.407688357,-0.124281253,0.332397486,0.296642206,0.370960308
1,ridge_regression_auto_weights,36.18836379,0.011926479,0.188187818,0.264334599,0.268341164,0.26720994,0.011542698,-0.182132149,0.255828614,-0.259706252,-0.25861143,0.3333,0.3333,0.3334
2,ridge_regression_auto_weights,11.46815157,0.026988029,0.092003041,0.509916483,0.181391857,0.18970059,0.026910403,-0.091738409,0.50844979,-0.180870112,-0.189154947,0.333718822,0.308695538,0.357585641
3,ridge_regression_auto_weights,8.14494133,0.071891078,0.022382986,0.555909906,0.188856057,0.160959974,0.078349451,0.024393773,0.60585037,-0.205822041,-0.175419899,0.329436467,0.302630929,0.367932604
4,ridge_regression_auto_weights,4.898197889,0.095606379,0.049775758,0.575515544,0.154229397,0.124872923,0.114949205,0.059846256,0.691952305,-0.185432675,-0.150136878,0.329081147,0.296825789,0.374093065
