round,method,gap_seconds,weight_cpu_util,weight_gpu_util,weight_throughput,weight_memory_headroom,weight_time,coef_cpu_util,coef_gpu_util,coef_throughput,coef_memory_headroom,coef_time,ratio_B,ratio_C,ratio_D
1,ridge_regression_auto_weights,33.71513033,0.086678439,0.227964482,0.225719755,0.230892045,0.228745279,0.083565134,0.219776484,0.217612383,-0.222598895,-0.220529236,0.3333,0.3333,0.3334
2,ridge_regression_auto_weights,2.936517477,0.03910765,0.052726183,0.371410235,0.307532242,0.22922369,0.043248037,-0.058308385,0.410732006,-0.340091152,-0.253491953,0.329872763,0.311007113,0.359120124
1,ridge_regression_auto_weights,36.62142467,0.180983264,0.138964884,0.253249262,0.180585339,0.24621725,0.196474345,-0.150859443,0.274925878,-0.19604236,-0.267291969,0.3333,0.3333,0.3334
2,ridge_regression_auto_weights,1.011954308,0.085141947,0.234592707,0.434194554,0.039653764,0.206417028,0.096548267,-0.266020688,0.492362851,0.044966111,-0.234070362,0.333771948,0.304867074,0.361360978
1,ridge_regression_auto_weights,22.10260582,0.03558207,0.149948478,0.277287333,0.251905984,0.285276135,-0.034934224,-0.147218351,0.272238734,-0.247319506,-0.280082083,0.3333,0.3333,0.3334
2,ridge_regression_auto_weights,24.06111765,0.043116539,0.112166644,0.366247912,0.197786675,0.280682231,-0.045216056,-0.117628486,0.384081987,-0.207417698,-0.29434977,0.329821931,0.317141275,0.353036793
3,ridge_regression_auto_weights,5.965995789,0.061380783,0.045029407,0.495980068,0.28819793,0.109411811,-0.066338377,-0.048666336,0.53603931,-0.311475056,-0.118248767,0.331796211,0.298377925,0.369825864
4,ridge_regression_auto_weights,12.23388243,0.037076635,0.027515842,0.527028854,0.191293923,0.217084746,-0.041129252,-0.030523428,0.584635115,-0.212203077,-0.240812935,0.330961137,0.295990352,0.373048511
1,ridge_regression_auto_weights,37.64742756,0.089473514,0.176595652,0.281892268,0.158989697,0.29304887,-0.095169555,-0.187838042,0.299838026,-0.169111261,-0.311704877,0.3333,0.3333,0.3334
2,ridge_regression_auto_weights,9.703216553,0.101485598,0.025024841,0.409001749,0.291234408,0.173253404,-0.114658319,-0.028273039,0.462089737,-0.329036321,-0.19574151,0.334209897,0.303992468,0.361797636
3,ridge_regression_auto_weights,9.885300159,0.110511117,0.061433559,0.429418645,0.298302857,0.100333822,-0.128902087,-0.07165717,0.500881367,-0.347945635,-0.117031113,0.335346361,0.297670014,0.366983625
4,ridge_regression_auto_weights,0.273496628,0.114619396,0.043623965,0.469495399,0.312497137,0.059764103,-0.13592746,-0.051733781,0.556775894,-0.37059122,-0.070874415,0.334004398,0.291708932,0.374286669
