round,profile_round_used,worker_name,weight_cpu_util,weight_gpu_util,weight_throughput,weight_memory_headroom,weight_time,coef_cpu_util,coef_gpu_util,coef_throughput,coef_memory_headroom,coef_time,previous_ratio,ideal_ratio,final_ratio,allocated_samples,trained_samples,cpu_util,gpu_util,throughput,memory_headroom,time,time_gap,train_seconds,total_seconds,request_seconds,samples_per_sec_train,samples_per_sec_total,iteration_time,avg_cpu_percent,avg_gpu_util_percent,avg_memory_percent
201,4,B,0.0146,0.1436,0.3695,0.2125,0.2598,-0.0146,0.1436,0.3695,0.2125,-0.2598,0.3333,0.337008676,0.337008676,33700,67400,22.61690141,93.42253521,478.4725496,71.95352113,140.8649254,13.11712289,39.95316648,140.8649254,173.1571164,1686.975174,478.4725496,0.03790623,22.61690141,93.42253521,28.04647887
201,4,C,0.0146,0.1436,0.3695,0.2125,0.2598,-0.0146,0.1436,0.3695,0.2125,-0.2598,0.3333,0.309875351,0.309875351,30987,61974,35.72285714,91.54285714,424.817749,73.50428571,145.8837352,13.11712289,38.23420477,145.8837352,180.9409058,1620.904642,424.817749,0.039416706,35.72285714,91.54285714,26.49571429
201,4,D,0.0146,0.1436,0.3695,0.2125,0.2598,-0.0146,0.1436,0.3695,0.2125,-0.2598,0.3334,0.353115973,0.353115973,35313,70626,42.85348837,90.48837209,531.9560301,64.95813953,132.7666123,13.11712289,25.52579594,132.7666123,166.6585078,2766.8481,531.9560301,0.023121192,42.85348837,90.48837209,35.04186047
201,4,B,0.0146,0.1436,0.3695,0.2125,0.2598,-0.0146,0.1436,0.3695,0.2125,-0.2598,0.3333,0.337008676,0.337008676,33700,67400,22.96714286,93.35714286,414.1239412,69.00714286,162.7532082,14.7579453,39.54125905,162.7532082,166.7379756,1704.548657,414.1239412,0.037515426,22.96714286,93.35714286,30.99285714
201,4,C,0.0146,0.1436,0.3695,0.2125,0.2598,-0.0146,0.1436,0.3695,0.2125,-0.2598,0.3333,0.309875351,0.309875351,30987,61974,37.69384615,92.27692308,357.1743706,72.47384615,173.5118897,14.7579453,37.62919617,173.5118897,177.0375226,1646.965822,357.1743706,0.038792986,37.69384615,92.27692308,27.52615385
201,4,D,0.0146,0.1436,0.3695,0.2125,0.2598,-0.0146,0.1436,0.3695,0.2125,-0.2598,0.3334,0.353115973,0.353115973,35313,70626,39.56136364,77.93181818,444.8771353,62.76818182,158.7539444,14.7579453,28.16256094,158.7539444,162.827929,2507.797503,444.8771353,0.025509566,39.56136364,77.93181818,37.23181818
201,4,B,0.0146,0.1436,0.3695,0.2125,0.2598,-0.0146,0.1436,0.3695,0.2125,-0.2598,0.3333,0.337008676,0.337008676,33700,67400,21.35,90.84210526,432.2832006,71.08421053,155.9163065,22.94557619,39.75614142,155.9163065,159.8890038,1695.335553,432.2832006,0.037719299,21.35,90.84210526,28.91578947
201,4,C,0.0146,0.1436,0.3695,0.2125,0.2598,-0.0146,0.1436,0.3695,0.2125,-0.2598,0.3333,0.309875351,0.309875351,30987,61974,35.19375,94.09375,371.4285327,73.1765625,166.8530943,22.94557619,36.98881412,166.8530943,170.7473192,1675.479506,371.4285327,0.038132798,35.19375,94.09375,26.8234375
201,4,D,0.0146,0.1436,0.3695,0.2125,0.2598,-0.0146,0.1436,0.3695,0.2125,-0.2598,0.3334,0.353115973,0.353115973,35313,70626,44.23181818,82.63636364,490.7735253,61.16818182,143.9075181,22.94557619,24.19933677,143.9075181,147.9832978,2918.509738,490.7735253,0.021919689,44.23181818,82.63636364,38.83181818
201,4,B,0.0146,0.1436,0.3695,0.2125,0.2598,-0.0146,0.1436,0.3695,0.2125,-0.2598,0.3333,0.337008676,0.337008676,33700,67400,21.3030303,94.51515152,481.1097966,71.10454545,140.0927615,9.138956308,39.35595608,140.0927615,144.0976086,1712.574327,481.1097966,0.037339617,21.3030303,94.51515152,28.89545455
