round,worker_name,hostname,mode,ratio_used,allocated_samples,trained_samples,cpu_util,gpu_util,throughput,memory_headroom,time,train_seconds,total_seconds,request_seconds,samples_per_sec_train,samples_per_sec_total,iteration_time,loss,acc,shard_zip_bytes,avg_cpu_percent,max_cpu_percent,avg_memory_percent,max_memory_percent,avg_gpu_util_percent,max_gpu_util_percent,avg_gpu_memory_used_mb,max_gpu_memory_used_mb,avg_gpu_memory_percent,max_gpu_memory_percent
1,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,21.3617283950617,83.5432098765432,415.552037745672,72.3432098765432,160.413122653961,42.9183418750763,160.413122653961,165.21950173378,1553.18209156424,415.552037745672,0.041188427903144,4.83525088495082,0.045319531953195,65828528,21.3617283950617,53.5,27.6567901234568,30.3,83.5432098765432,99,1516.79012345679,1616,12.3496997513173,13.1574662107149
1,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,32.8333333333333,80.8095238095238,379.397148775564,74.1642857142857,175.699791669846,45.0704336166382,175.699791669846,180.563360214233,1479.01838635499,379.397148775564,0.043253775063952,4.84010460524812,0.043879387938794,65928535,32.8333333333333,75.9,25.8357142857143,28.1,80.8095238095238,99,1495.19047619048,1598,14.6014694940476,15.60546875
1,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.3334,33340,66680,43.9454545454545,87.0454545454546,469.628193428524,70.5545454545455,141.984661340714,28.7610454559326,141.984661340714,146.618906259537,2318.41363702048,469.628193428524,0.027601771070953,4.84018069998404,0.045410917816437,65998942,43.9454545454545,57.6,29.4454545454545,31.1,87.0454545454546,97,1804.81818181818,1868,11.0704666737299,11.4580138624793
2,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.329872763265308,32987,65974,22.5847222222222,92.1388888888889,440.440182464771,71.175,149.79105591774,38.2909302711487,149.79105591774,153.97777223587,1722.96675825894,440.440182464771,0.037103614603826,4.85015135685658,0.043956710219177,65195450,22.5847222222222,52.3,28.825,29.6,92.1388888888889,99,1617,1617,13.1656082071324,13.1656082071324
2,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.311007112878857,31100,62200,36.6046153846154,93.2461538461538,408.873219199444,72.8938461538462,152.125395059586,37.0318493843079,152.125395059586,155.849489927292,1679.63526084001,408.873219199444,0.038098610477683,4.85435355655633,0.044469453376206,61486965,36.6046153846154,77.8,27.1061538461538,28.3,93.2461538461538,99,1576.36923076923,1601,15.3942307692308,15.634765625
2,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.359120123855835,35913,71826,42.3116279069768,90.5348837209302,470.288359878159,68.253488372093,152.727573394775,25.0220704078674,152.727573394775,156.822552204132,2870.50587058601,470.288359878159,0.02226162847675,4.83106717731615,0.046125358505277,71072952,42.3116279069768,63.6,31.746511627907,33.2,90.5348837209302,99,1822.18604651163,1871,11.1769983838044,11.4764153836717
1,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,21.7694444444444,89.8333333333333,468.316090021982,71.1694444444444,142.339760303497,38.3928458690643,142.339760303497,146.482271194458,1736.26097495712,468.316090021982,0.036845341525014,4.86210675820409,0.043084308430843,65828528,21.7694444444444,53.7,28.8305555555556,29.7,89.8333333333333,99,1619,1619,13.1818921999674,13.1818921999674
1,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,35.4742424242424,94.1515151515152,409.174619845278,72.5409090909091,162.913330316544,39.7065253257751,162.913330316544,167.09195971489,1678.81725870202,409.174619845278,0.038106070370226,4.82821160261244,0.045619561956196,65928535,35.4742424242424,48.6,27.4590909090909,28.7,94.1515151515152,99,1553.45454545455,1602,15.1704545454545,15.64453125
1,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.3334,33340,66680,44.7615384615385,90.6153846153846,527.983164568381,71.1307692307692,126.291905641556,23.0097105503082,126.291905641556,130.437499761581,2897.90694473151,527.983164568381,0.022082255806438,4.83060736905048,0.045500899820036,65998942,44.7615384615385,64.1,28.8692307692308,29.7,90.6153846153846,99,1831.79487179487,1880,11.235937384499,11.531619947249
2,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.333771947590244,33377,66754,21.7486486486486,90.6486486486486,474.514638767013,68.872972972973,140.678483963013,38.9930684566498,140.678483963013,164.193045377731,1711.94529289772,474.514638767013,0.037349682429741,4.84197297277547,0.045075950504839,65971202,21.7486486486486,55.8,31.127027027027,32.2,90.6486486486486,99,1616.54054054054,1621,13.1618672898595,13.1981761928025
